T,v(t),a(t)
  0.00, 0.00000, 9.80000
  0.10, 0.98000, 9.80000
  0.20, 1.95020, 9.70200
  0.30, 2.91070, 9.60498
  0.40, 3.86159, 9.50893
  0.50, 4.80298, 9.41384
  0.60, 5.73495, 9.31970
  0.70, 6.65760, 9.22651
  0.80, 7.57102, 9.13424
  0.90, 8.47531, 9.04290
  1.00, 9.37056, 8.95247
  1.10,10.25685, 8.86294
  1.20,11.13428, 8.77431
  1.30,12.00294, 8.68657
  1.40,12.86291, 8.59971
  1.50,13.71428, 8.51371
  1.60,14.55714, 8.42857
  1.70,15.39157, 8.34429
  1.80,16.21765, 8.26084
  1.90,17.03547, 8.17824
  2.00,17.84512, 8.09645
  2.10,18.64667, 8.01549
  2.20,19.44020, 7.93533
  2.30,20.22580, 7.85598
  2.40,21.00354, 7.77742
  2.50,21.77351, 7.69965
  2.60,22.53577, 7.62265
  2.70,23.29041, 7.54642
  2.80,24.03751, 7.47096
  2.90,24.77713, 7.39625
  3.00,25.50936, 7.32229
  3.10,26.23427, 7.24906
  3.20,26.95193, 7.17657
  3.30,27.66241, 7.10481
  3.40,28.36578, 7.03376
  3.50,29.06213, 6.96342
  3.60,29.75150, 6.89379
  3.70,30.43399, 6.82485
  3.80,31.10965, 6.75660
  3.90,31.77855, 6.68903
  4.00,32.44077, 6.62214
  4.10,33.09636, 6.55592
  4.20,33.74540, 6.49036
  4.30,34.38795, 6.42546
  4.40,35.02407, 6.36121
  4.50,35.65383, 6.29759
  4.60,36.27729, 6.23462
  4.70,36.89452, 6.17227
  4.80,37.50557, 6.11055
  4.90,38.11052, 6.04944
  5.00,38.70941, 5.98895
  5.10,39.30232, 5.92906
  5.20,39.88929, 5.86977
  5.30,40.47040, 5.81107
  5.40,41.04570, 5.75296
  5.50,41.61524, 5.69543
  5.60,42.17908, 5.63848
  5.70,42.73729, 5.58209
  5.80,43.28992, 5.52627
  5.90,43.83702, 5.47101
  6.00,44.37865, 5.41630
  6.10,44.91486, 5.36213
  6.20,45.44572, 5.30851
