t,x,y,vx,vy,r
 0.00100,   0.99996,   0.00500,  -0.03948,   5.00000,   0.99997
 0.00200,   0.99988,   0.01000,  -0.07896,   4.99980,   0.99993
 0.00300,   0.99976,   0.01500,  -0.11844,   4.99941,   0.99988
 0.00400,   0.99961,   0.02000,  -0.15792,   4.99882,   0.99981
 0.00500,   0.99941,   0.02500,  -0.19741,   4.99803,   0.99972
 0.00600,   0.99917,   0.02999,  -0.23690,   4.99704,   0.99962
 0.00700,   0.99889,   0.03499,  -0.27639,   4.99585,   0.99951
 0.00800,   0.99858,   0.03998,  -0.31588,   4.99447,   0.99938
 0.00900,   0.99822,   0.04498,  -0.35538,   4.99289,   0.99924
 0.01000,   0.99783,   0.04997,  -0.39488,   4.99111,   0.99908
 0.01100,   0.99739,   0.05496,  -0.43438,   4.98913,   0.99891
 0.01200,   0.99692,   0.05994,  -0.47388,   4.98695,   0.99872
 0.01300,   0.99641,   0.06493,  -0.51339,   4.98458,   0.99852
 0.01400,   0.99585,   0.06991,  -0.55290,   4.98200,   0.99830
 0.01500,   0.99526,   0.07489,  -0.59242,   4.97923,   0.99808
 0.01600,   0.99463,   0.07987,  -0.63194,   4.97626,   0.99783
 0.01700,   0.99396,   0.08484,  -0.67146,   4.97308,   0.99757
 0.01800,   0.99325,   0.08981,  -0.71099,   4.96971,   0.99730
 0.01900,   0.99250,   0.09477,  -0.75052,   4.96613,   0.99701
 0.02000,   0.99171,   0.09974,  -0.79005,   4.96236,   0.99671
 0.02100,   0.99088,   0.10470,  -0.82960,   4.95838,   0.99639
 0.02200,   0.99001,   0.10965,  -0.86914,   4.95421,   0.99606
 0.02300,   0.98910,   0.11460,  -0.90869,   4.94982,   0.99572
 0.02400,   0.98815,   0.11954,  -0.94824,   4.94524,   0.99536
 0.02500,   0.98716,   0.12448,  -0.98780,   4.94046,   0.99498
 0.02600,   0.98614,   0.12942,  -1.02737,   4.93547,   0.99459
 0.02700,   0.98507,   0.13435,  -1.06694,   4.93027,   0.99419
 0.02800,   0.98396,   0.13928,  -1.10651,   4.92488,   0.99377
 0.02900,   0.98282,   0.14419,  -1.14609,   4.91927,   0.99334
 0.03000,   0.98163,   0.14911,  -1.18568,   4.91347,   0.99289
 0.03100,   0.98041,   0.15402,  -1.22527,   4.90745,   0.99243
 0.03200,   0.97914,   0.15892,  -1.26487,   4.90123,   0.99195
 0.03300,   0.97784,   0.16381,  -1.30447,   4.89480,   0.99146
 0.03400,   0.97649,   0.16870,  -1.34408,   4.88817,   0.99096
 0.03500,   0.97511,   0.17358,  -1.38370,   4.88132,   0.99044
 0.03600,   0.97368,   0.17846,  -1.42332,   4.87427,   0.98990
 0.03700,   0.97222,   0.18332,  -1.46294,   4.86701,   0.98935
 0.03800,   0.97072,   0.18818,  -1.50258,   4.85954,   0.98879
 0.03900,   0.96918,   0.19303,  -1.54222,   4.85185,   0.98821
 0.04000,   0.96760,   0.19788,  -1.58187,   4.84395,   0.98762
 0.04100,   0.96597,   0.20271,  -1.62152,   4.83584,   0.98701
 0.04200,   0.96431,   0.20754,  -1.66118,   4.82752,   0.98639
 0.04300,   0.96261,   0.21236,  -1.70085,   4.81898,   0.98576
 0.04400,   0.96087,   0.21717,  -1.74052,   4.81023,   0.98511
 0.04500,   0.95909,   0.22197,  -1.78020,   4.80126,   0.98444
 0.04600,   0.95727,   0.22676,  -1.81989,   4.79208,   0.98376
 0.04700,   0.95541,   0.23155,  -1.85958,   4.78268,   0.98307
 0.04800,   0.95351,   0.23632,  -1.89928,   4.77305,   0.98236
 0.04900,   0.95157,   0.24108,  -1.93899,   4.76321,   0.98164
 0.05000,   0.94959,   0.24584,  -1.97870,   4.75315,   0.98090
 0.05100,   0.94758,   0.25058,  -2.01842,   4.74287,   0.98015
 0.05200,   0.94552,   0.25531,  -2.05815,   4.73236,   0.97938
 0.05300,   0.94342,   0.26003,  -2.09789,   4.72163,   0.97860
 0.05400,   0.94128,   0.26474,  -2.13763,   4.71068,   0.97780
 0.05500,   0.93910,   0.26944,  -2.17738,   4.69950,   0.97699
 0.05600,   0.93689,   0.27413,  -2.21713,   4.68809,   0.97617
 0.05700,   0.93463,   0.27881,  -2.25690,   4.67646,   0.97533
 0.05800,   0.93233,   0.28347,  -2.29667,   4.66460,   0.97448
 0.05900,   0.93000,   0.28812,  -2.33644,   4.65250,   0.97361
 0.06000,   0.92762,   0.29276,  -2.37622,   4.64018,   0.97272
 0.06100,   0.92521,   0.29739,  -2.41601,   4.62762,   0.97183
 0.06200,   0.92275,   0.30201,  -2.45581,   4.61483,   0.97091
 0.06300,   0.92025,   0.30661,  -2.49561,   4.60180,   0.96999
 0.06400,   0.91772,   0.31120,  -2.53542,   4.58854,   0.96905
 0.06500,   0.91514,   0.31577,  -2.57523,   4.57504,   0.96809
 0.06600,   0.91253,   0.32033,  -2.61505,   4.56130,   0.96712
 0.06700,   0.90987,   0.32488,  -2.65488,   4.54732,   0.96614
 0.06800,   0.90718,   0.32941,  -2.69471,   4.53309,   0.96514
 0.06900,   0.90444,   0.33393,  -2.73454,   4.51863,   0.96412
 0.07000,   0.90167,   0.33844,  -2.77439,   4.50392,   0.96309
 0.07100,   0.89886,   0.34293,  -2.81423,   4.48896,   0.96205
 0.07200,   0.89600,   0.34740,  -2.85409,   4.47376,   0.96099
 0.07300,   0.89311,   0.35186,  -2.89394,   4.45830,   0.95992
 0.07400,   0.89017,   0.35630,  -2.93381,   4.44260,   0.95883
